frame,timestamp_ms,fish_count,centers
85,3400,11,"231,441|62,422|11,364|174,329|504,298|237,312|780,255|656,197|455,173|139,178|477,14"
86,3440,11,"62,423|11,366|435,327|236,322|504,300|551,248|780,241|92,216|191,138|570,125|481,16"
87,3480,11,"265,427|62,426|436,329|504,303|236,315|549,252|780,241|100,221|191,139|571,126|474,18"
88,3520,12,"268,429|173,338|437,333|504,302|238,318|551,257|79,230|780,239|102,228|189,143|756,95|471,16"
89,3560,8,"270,432|172,343|505,306|239,320|111,238|780,218|479,169|192,146"
90,3600,7,"272,433|506,308|246,324|116,242|780,225|476,171|206,149"
91,3640,9,"272,432|834,289|508,308|209,298|777,224|473,172|223,154|484,30|643,154"
92,3680,8,"272,432|508,309|209,295|776,229|405,164|220,154|488,31|629,155"
93,3720,10,"274,429|506,310|797,257|211,298|669,212|776,193|397,161|531,173|221,162|620,157"
94,3760,12,"276,429|167,351|489,310|797,252|206,300|777,186|194,170|530,175|389,160|212,166|774,102|614,140"
95,3800,12,"166,349|538,300|490,294|241,314|554,254|797,253|124,254|200,174|216,174|383,157|774,101|476,30"
96,3840,9,"539,303|490,293|240,322|549,253|742,214|169,212|372,155|523,168|624,136"
97,3880,8,"280,422|239,326|534,281|793,251|206,189|171,216|364,157|523,170"
98,3920,8,"280,420|532,282|799,248|835,177|248,258|779,105|486,38|614,138"
99,3960,10,"158,353|529,312|554,256|801,243|737,197|518,175|244,258|780,105|124,64|624,138"
100,4000,7,"526,288|802,249|228,288|518,175|336,156|124,64|621,138"
101,4040,10,"282,420|152,354|520,289|231,309|804,249|208,223|745,199|517,176|334,155|613,137"
102,4080,9,"284,419|151,356|518,289|233,313|805,251|328,152|735,107|470,32|611,137"
103,4120,9,"274,418|149,356|517,292|805,252|742,209|236,257|731,110|470,32|612,138"
104,4160,9,"272,421|311,304|517,294|149,307|505,179|318,153|732,111|470,32|672,142"
105,4200,14,"248,432|396,440|266,424|151,360|297,325|500,300|246,318|818,224|507,180|311,154|780,107|138,80|466,33|678,144"
106,4240,8,"329,432|354,317|156,327|526,305|785,223|310,152|478,39|612,145"
107,4280,10,"376,439|262,422|337,330|498,308|362,315|199,312|788,243|817,211|305,148|117,95"
108,4320,6,"317,429|498,309|259,313|781,247|824,208|300,147"
109,4360,8,"316,427|156,363|498,311|554,279|262,307|786,247|824,208|298,145"
110,4400,7,"313,425|500,312|263,332|789,251|250,234|832,218|296,144"
111,4440,8,"310,422|265,339|793,254|832,228|256,228|811,189|287,143|149,91"
112,4480,10,"308,422|350,307|168,338|836,235|801,252|248,222|816,190|62,200|283,138|149,95"
113,4520,8,"309,422|254,338|804,256|251,215|818,191|62,201|277,138|156,92"
114,4560,10,"305,370|140,365|327,322|355,296|238,365|808,256|264,209|820,192|62,202|221,118"
115,4600,7,"292,404|251,333|810,255|823,192|264,203|62,192|216,117"
116,4640,9,"332,435|362,319|366,303|220,363|813,259|824,192|62,202|262,161|485,39"
117,4680,9,"299,439|122,365|369,302|228,364|815,255|828,237|827,191|62,201|229,150"
118,4720,10,"350,426|289,415|373,300|154,328|818,257|507,313|832,236|829,192|63,201|255,157"
119,4760,8,"228,429|156,321|428,336|819,253|833,192|62,200|270,156|473,29"
120,4800,7,"155,316|820,259|835,192|62,199|497,175|284,169|471,29"
121,4840,6,"155,312|821,258|62,199|304,184|232,136|467,29"
122,4880,6,"154,310|822,258|26,209|687,187|220,133|466,27"
123,4920,14,"313,404|92,350|444,315|823,256|218,274|553,273|317,201|64,201|687,186|214,144|423,161|256,91|466,27|642,166"
124,4960,10,"230,412|354,390|86,350|822,256|218,272|473,288|66,203|533,171|364,162|238,143"
125,5000,13,"223,437|427,418|286,364|81,348|447,314|824,256|555,269|38,212|200,151|532,170|308,202|470,30|637,166"
126,5040,9,"443,414|239,399|80,348|825,253|44,211|666,197|194,155|306,195|464,24"
127,5080,9,"202,436|460,412|265,355|79,347|827,245|713,202|88,203|192,155|307,189"
128,5120,10,"198,436|468,408|81,347|829,249|219,253|53,209|718,201|677,175|185,160|367,152"
129,5160,8,"198,436|478,406|256,344|82,345|95,203|695,179|222,148|298,177"
130,5200,9,"198,436|481,403|251,338|76,340|707,191|185,157|153,181|791,89|296,168"
131,5240,11,"198,436|496,401|77,339|242,340|501,310|65,210|365,195|719,193|686,155|209,144|301,164"
132,5280,10,"196,436|512,401|682,409|237,342|76,341|234,341|501,315|74,215|212,144|301,161"
133,5320,14,"198,440|686,408|560,394|229,341|67,345|222,344|483,338|436,262|724,195|684,169|305,204|165,183|520,149|351,90"
134,5360,8,"638,402|62,346|199,381|484,347|433,264|322,208|167,183|340,89"
135,5400,10,"617,393|59,355|209,346|62,347|198,375|85,217|322,209|167,179|504,91|338,90"
136,5440,9,"636,392|52,356|63,348|206,354|656,235|86,220|388,205|329,208|276,118"
137,5480,8,"643,385|196,347|63,350|654,236|503,320|720,195|337,207|274,118"
138,5520,9,"662,386|43,358|188,347|653,237|500,323|343,214|595,83|272,119|522,40"
139,5560,5,"680,396|499,327|707,195|350,216|271,119"
140,5600,4,"689,394|401,253|353,219|269,118"
141,5640,4,"694,393|407,252|353,221|264,117"
142,5680,6,"703,395|468,392|726,206|142,220|697,169|263,120"
143,5720,6,"705,397|413,392|724,207|144,218|701,175|264,114"
144,5760,5,"706,395|462,391|146,217|726,201|275,112"
145,5800,4,"709,395|458,389|151,213|290,90"
146,5840,5,"710,394|200,406|725,202|152,211|288,89"
147,5880,6,"710,402|198,408|723,202|152,209|212,133|272,83"
148,5920,8,"712,404|446,391|198,409|428,225|723,204|156,207|210,131|267,81"
149,5960,5,"198,412|716,200|160,206|206,125|264,79"
150,6000,9,"727,405|192,421|411,397|417,313|715,201|162,203|422,178|204,121|245,75"
151,6040,7,"734,405|192,421|440,401|716,201|685,175|202,119|251,85"
152,6080,11,"200,387|492,300|536,268|727,240|548,239|611,237|723,195|776,171|296,172|483,181|620,105"
153,6120,15,"291,390|715,370|256,387|478,336|334,309|212,302|540,247|612,230|719,231|379,174|789,165|382,167|169,97|480,34|625,99"
154,6160,11,"255,387|721,366|486,335|216,304|537,252|614,228|721,229|791,166|385,167|181,92|603,97"
155,6200,17,"256,385|752,358|490,334|330,311|216,307|539,249|617,227|725,225|549,195|399,187|797,168|795,163|393,173|677,101|573,87|185,89|610,98"
156,6240,12,"255,387|762,359|465,368|332,310|218,307|725,225|549,194|802,168|796,163|458,176|194,87|613,97"
157,6280,13,"450,405|259,385|404,359|768,358|300,320|470,333|224,309|727,224|550,192|806,169|799,162|490,144|616,96"
158,6320,11,"777,358|473,366|267,345|732,220|808,165|322,151|802,162|494,164|709,92|214,82|619,95"
159,6360,11,"444,403|261,386|785,359|510,333|279,315|736,220|810,162|506,163|694,95|218,79|627,98"
160,6400,12,"448,404|265,385|787,358|518,333|281,316|737,222|811,160|516,162|695,93|226,79|499,39|644,111"
161,6440,11,"269,385|789,358|446,379|485,333|230,320|740,218|817,160|522,157|697,91|230,78|641,100"
162,6480,10,"274,384|789,357|480,364|236,322|755,212|822,161|529,154|234,76|829,39|634,108"
163,6520,13,"436,406|277,384|793,356|421,346|495,326|240,323|758,210|830,161|538,151|595,75|242,72|827,35|652,89"
164,6560,10,"442,407|279,383|795,355|531,328|232,327|750,212|836,155|542,148|824,34|634,90"
165,6600,12,"305,401|444,405|284,381|797,352|244,328|538,323|755,206|548,143|250,70|824,29|512,25|658,87"
166,6640,12,"450,405|291,382|798,354|435,347|518,324|298,321|575,229|760,206|558,139|258,69|824,29|670,92"
167,6680,12,"458,406|294,382|801,357|250,332|574,322|766,204|567,139|268,71|825,28|751,31|635,86|546,11"
168,6720,9,"791,364|582,320|304,348|770,203|576,136|274,69|828,29|755,29|633,80"
169,6760,10,"807,355|589,318|308,347|775,198|581,133|749,71|278,68|829,26|787,14|655,79"
170,6800,7,"595,317|310,346|780,196|278,69|820,22|787,12|648,88"
171,6840,8,"364,360|809,353|284,364|601,313|783,193|288,69|819,15|662,88"
